2025-09-05T16:23:25+07:00 | userID=6 | provider=google | action=unlink | status=failed | msg=cannot unlink last authentication method | ip= | ua=
2025-09-05T16:31:49+07:00 | userID=6 | provider=google | action=unlink | status=success | msg= | ip= | ua=
2025-09-05T16:33:44+07:00 | userID=6 | provider=google | action=unlink | status=success | msg= | ip= | ua=
2025-09-05T17:56:48+07:00 | userID=8 | provider=google | action=unlink | status=failed | msg=cannot unlink last authentication method | ip= | ua=
2025-09-05T18:07:01+07:00 | userID=8 | provider=google | action=unlink | status=success | msg= | ip= | ua=
2025-09-06T21:44:44+07:00 | userID=10 | provider=google | action=unlink | status=failed | msg=cannot unlink last authentication method | ip= | ua=
2025-09-06T21:45:48+07:00 | userID=10 | provider=google | action=unlink | status=success | msg= | ip= | ua=
2025-09-06T21:58:25+07:00 | userID=10 | provider=google | action=unlink | status=success | msg= | ip= | ua=
2025-09-07T10:03:28+07:00 | userID=11 | provider=google | action=unlink | status=failed | msg=cannot unlink last authentication method | ip= | ua=
2025-09-07T10:04:19+07:00 | userID=11 | provider=google | action=unlink | status=success | msg= | ip= | ua=
2025-09-07T10:54:30+07:00 | userID=11 | provider=google | action=unlink | status=success | msg= | ip= | ua=
